from:START_ID,to:END_ID,:TYPE
1476,0,IS
132547,0,IS
1479,0,IS
1481,0,IS
132558,0,IS
132560,0,IS
1493,0,IS
132566,0,IS
132567,0,IS
132572,0,IS
1502,0,IS
1504,0,IS
132581,0,IS
1510,0,IS
1515,0,IS
1520,0,IS
1524,0,IS
1525,0,IS
132597,0,IS
1531,0,IS
132603,0,IS
132605,0,IS
1534,0,IS
1538,0,IS
1539,0,IS
1540,0,IS
1542,0,IS
1543,0,IS
132615,0,IS
1548,0,IS
1549,0,IS
1550,0,IS
132624,0,IS
1555,0,IS
1556,0,IS
1557,0,IS
132627,0,IS
1559,0,IS
132628,0,IS
1565,0,IS
1566,0,IS
132643,0,IS
1572,0,IS
132646,0,IS
132647,0,IS
1579,0,IS
1580,0,IS
1589,0,IS
1591,0,IS
132665,0,IS
1596,0,IS
1600,0,IS
132674,0,IS
1605,0,IS
132679,0,IS
1608,0,IS
132681,0,IS
132685,0,IS
1614,0,IS
1617,0,IS
1618,0,IS
1619,0,IS
132690,0,IS
132692,0,IS
132694,0,IS
1624,0,IS
1627,0,IS
1628,0,IS
132700,0,IS
1631,0,IS
132705,0,IS
132709,0,IS
132714,0,IS
132715,0,IS
1644,0,IS
1645,0,IS
132716,0,IS
1647,0,IS
1648,0,IS
1649,0,IS
1650,0,IS
1651,0,IS
132718,0,IS
132726,0,IS
1664,0,IS
132736,0,IS
132740,0,IS
1671,0,IS
132743,0,IS
1673,0,IS
132745,0,IS
132747,0,IS
132748,0,IS
132753,0,IS
132759,0,IS
132760,0,IS
1693,0,IS
1694,0,IS
1696,0,IS
1697,0,IS
1703,0,IS
1705,0,IS
1708,0,IS
132781,0,IS
1710,0,IS
132782,0,IS
1714,0,IS
1715,0,IS
132787,0,IS
1720,0,IS
132793,0,IS
132795,0,IS
132797,0,IS
1727,0,IS
1728,0,IS
1730,0,IS
132804,0,IS
1733,0,IS
1735,0,IS
132808,0,IS
132809,0,IS
132810,0,IS
132811,0,IS
1740,0,IS
1742,0,IS
132814,0,IS
132817,0,IS
132820,0,IS
1750,0,IS
1751,0,IS
132822,0,IS
132824,0,IS
1754,0,IS
132827,0,IS
1757,0,IS
1769,0,IS
1770,0,IS
1771,0,IS
132841,0,IS
132843,0,IS
132844,0,IS
132845,0,IS
132846,0,IS
1777,0,IS
132847,0,IS
132848,0,IS
132849,0,IS
1781,0,IS
132850,0,IS
132851,0,IS
1782,0,IS
132859,0,IS
132860,0,IS
1791,0,IS
132865,0,IS
132867,0,IS
132871,0,IS
1800,0,IS
132872,0,IS
1802,0,IS
1803,0,IS
132874,0,IS
132884,0,IS
1813,0,IS
1814,0,IS
1828,0,IS
132904,0,IS
132908,0,IS
132910,0,IS
132917,0,IS
1857,0,IS
1858,0,IS
1859,0,IS
1865,0,IS
1868,0,IS
1869,0,IS
1870,0,IS
1871,0,IS
1872,0,IS
1873,0,IS
132946,0,IS
132947,0,IS
1876,0,IS
1877,0,IS
1878,0,IS
132948,0,IS
1881,0,IS
1882,0,IS
132954,0,IS
1885,0,IS
1886,0,IS
132957,0,IS
1888,0,IS
1890,0,IS
1891,0,IS
1892,0,IS
1893,0,IS
1897,0,IS
132973,0,IS
132975,0,IS
132979,0,IS
132980,0,IS
1912,0,IS
132990,0,IS
132993,0,IS
1925,0,IS
132999,0,IS
1928,0,IS
133000,0,IS
133006,0,IS
133010,0,IS
133018,0,IS
133022,0,IS
133028,0,IS
133029,0,IS
133033,0,IS
1963,0,IS
1964,0,IS
1965,0,IS
1966,0,IS
1967,0,IS
1968,0,IS
133035,0,IS
133037,0,IS
133040,0,IS
1972,0,IS
133043,0,IS
133044,0,IS
133045,0,IS
133047,0,IS
133049,0,IS
133050,0,IS
1983,0,IS
133060,0,IS
133061,0,IS
133064,0,IS
133068,0,IS
2003,0,IS
2006,0,IS
2009,0,IS
2010,0,IS
2012,0,IS
2013,0,IS
2016,0,IS
2017,0,IS
2020,0,IS
133094,0,IS
133096,0,IS
2026,0,IS
133106,0,IS
133107,0,IS
133112,0,IS
133118,0,IS
133119,0,IS
133120,0,IS
133121,0,IS
133122,0,IS
133123,0,IS
133124,0,IS
133125,0,IS
133135,0,IS
2065,0,IS
2066,0,IS
2067,0,IS
133137,0,IS
133138,0,IS
133140,0,IS
133142,0,IS
2072,0,IS
133144,0,IS
2078,0,IS
133150,0,IS
133153,0,IS
133156,0,IS
133161,0,IS
133163,0,IS
133165,0,IS
2096,0,IS
133170,0,IS
133171,0,IS
133175,0,IS
133176,0,IS
2108,0,IS
133184,0,IS
2113,0,IS
2114,0,IS
2115,0,IS
2117,0,IS
2119,0,IS
2125,0,IS
2126,0,IS
133202,0,IS
2132,0,IS
133205,0,IS
133207,0,IS
133208,0,IS
2138,0,IS
133211,0,IS
2140,0,IS
2141,0,IS
133215,0,IS
133216,0,IS
133217,0,IS
133218,0,IS
2147,0,IS
2154,0,IS
133232,0,IS
133243,0,IS
2174,0,IS
133247,0,IS
133253,0,IS
2182,0,IS
2183,0,IS
2184,0,IS
2191,0,IS
2194,0,IS
2195,0,IS
133266,0,IS
133270,0,IS
133275,0,IS
133279,0,IS
2208,0,IS
2212,0,IS
2217,0,IS
2222,0,IS
2225,0,IS
2232,0,IS
2233,0,IS
2234,0,IS
2236,0,IS
2239,0,IS
2241,0,IS
2242,0,IS
2244,0,IS
2245,0,IS
2246,0,IS
2247,0,IS
2254,0,IS
2255,0,IS
2259,0,IS
2262,0,IS
133334,0,IS
133337,0,IS
133338,0,IS
133339,0,IS
2268,0,IS
2269,0,IS
133342,0,IS
133344,0,IS
133345,0,IS
133347,0,IS
2276,0,IS
2278,0,IS
133351,0,IS
2285,0,IS
133357,0,IS
2287,0,IS
2289,0,IS
2290,0,IS
133362,0,IS
133367,0,IS
2296,0,IS
133371,0,IS
2300,0,IS
2305,0,IS
133386,0,IS
2318,0,IS
2319,0,IS
2323,0,IS
2324,0,IS
133395,0,IS
133398,0,IS
2327,0,IS
2330,0,IS
2332,0,IS
2333,0,IS
133404,0,IS
133409,0,IS
133414,0,IS
2345,0,IS
133420,0,IS
133421,0,IS
133423,0,IS
2352,0,IS
133425,0,IS
133426,0,IS
133427,0,IS
133429,0,IS
133431,0,IS
133433,0,IS
133436,0,IS
2367,0,IS
2369,0,IS
2370,0,IS
133442,0,IS
133447,0,IS
133449,0,IS
2378,0,IS
133451,0,IS
2381,0,IS
2383,0,IS
133456,0,IS
133457,0,IS
2388,0,IS
133461,0,IS
133463,0,IS
2395,0,IS
2397,0,IS
133469,0,IS
2399,0,IS
133471,0,IS
133473,0,IS
133474,0,IS
2403,0,IS
2405,0,IS
2406,0,IS
133479,0,IS
2408,0,IS
2409,0,IS
2412,0,IS
133484,0,IS
2420,0,IS
2421,0,IS
133497,0,IS
2425,0,IS
2432,0,IS
2434,0,IS
2437,0,IS
2440,0,IS
2448,0,IS
2449,0,IS
2450,0,IS
133522,0,IS
133527,0,IS
133528,0,IS
133530,0,IS
133531,0,IS
2463,0,IS
133538,0,IS
2469,0,IS
2470,0,IS
133542,0,IS
133545,0,IS
2476,0,IS
2477,0,IS
